subNo,ageYrs,ageYrsRound,sex,grassSky_sum,upDown_sum,vocab_sum,divDes_a1_peWcontrol,divDes_b12_peWcontrol,divDes_c5_peWcontrol,divDes_a9_peWcontrol,divDes_c1_peWcontrol,divDes_b10_peWcontrol,divBel_a3_peWcontrol,divBel_b7_peWcontrol,divBel_a6_peWcontrol,divBel_c8_peWcontrol,trueBel_a7_peWcontrol,trueBel_b1_peWcontrol,trueBel_c12_peWcontrol,falseBelContents_a8_peWcontrol,falseBelContents_b3_peWcontrol,falseBelContents_c4_peWcontrol,falseBelLocation_a10_peWcontrol,falseBelLocation_b11_peWcontrol,falseBelLocation_c6_peWcontrol,falseSign_a5_peWcontrol,falseSign_a13_peWcontrol,falseSign_b4_peWcontrol,falseSign_b8_peWcontrol,falseSign_c2_peWcontrol,falseSign_c9_peWcontrol,vpt1_a11_peWcontrol,vpt1_a2_peWcontrol,vpt1_b2_peWcontrol,vpt1_b5_peWcontrol,vpt2_c7_peWcontrol,vpt2_c11_peWcontrol,knowAcc_a12_peWcontrol,knowAcc_b6_peWcontrol,knowAcc_c3_peWcontrol,knowExpert_a4_peWcontrol,knowExpert_b9_peWcontrol,knowExpert_c10_peWcontrol,divDesAvg,divBelAvg,knowAvg,vptAvg,falseBelAvg,falseSignAvg,divDes_a1_pWcontrol,divDes_b12_pWcontrol,divDes_c5_pWcontrol,divDes_a9_pWcontrol,divDes_c1_pWcontrol,divDes_b10_pWcontrol,divBel_a3_pWcontrol,divBel_b7_pWcontrol,divBel_a6_pWcontrol,divBel_c8_pWcontrol,trueBel_a7_pWcontrol,trueBel_b1_pWcontrol,trueBel_c12_pWcontrol,falseBelContents_a8_pWcontrol,falseBelContents_b3_pWcontrol,falseBelContents_c4_pWcontrol,falseBelLocation_a10_pWcontrol,falseBelLocation_b11_pWcontrol,falseBelLocation_c6_pWcontrol,falseSign_a5_pWcontrol,falseSign_a13_pWcontrol,falseSign_b4_pWcontrol,falseSign_b8_pWcontrol,falseSign_c2_pWcontrol,falseSign_c9_pWcontrol,vpt1_a11_pWcontrol,vpt1_a2_pWcontrol,vpt1_b2_pWcontrol,vpt1_b5_pWcontrol,vpt2_c7_pWcontrol,vpt2_c11_pWcontrol,knowAcc_a12_pWcontrol,knowAcc_b6_pWcontrol,knowAcc_c3_pWcontrol,knowExpert_a4_pWcontrol,knowExpert_b9_pWcontrol,knowExpert_c10_pWcontrol
1,5.983561644,5,F,NA,60,NA,NA,NA,NA,2,1,1,NA,NA,NA,1,2,1,1,2,2,2,1,1,2,2,2,2,1,2,2,1,1,NA,2,1,1,1,2,2,NA,2,2,1.333333333,1,1.8,1.2,1.666666667,1.833333333,NA,NA,NA,1,1,1,NA,NA,NA,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,NA,1,0,0,0,1,1,NA,1,1
2,4.01369863,4,F,NA,60,NA,NA,NA,NA,0,2,2,NA,NA,NA,1,0,0,1,1,1,2,1,2,2,0,1,2,1,0,1,0,1,0,1,1,0,1,2,2,NA,1,1,1.333333333,1,1.4,0.5,1.5,0.833333333,NA,NA,NA,0,1,1,NA,NA,NA,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,NA,1,1
3,4.084931507,4,F,NA,54,NA,NA,NA,NA,1,2,1,NA,NA,NA,1,0,0,0,1,1,2,2,2,1,1,0,2,1,1,0,1,2,0,1,0,0,2,2,2,NA,0,1,1.333333333,1,1.4,0.666666667,1.5,0.833333333,NA,NA,NA,0,1,1,NA,NA,NA,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,NA,0,1
4,4.02739726,4,F,NA,39,NA,NA,NA,NA,1,2,2,NA,NA,NA,0,0,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,2,1,2,NA,0,0,1.666666667,0,1,0.5,0.833333333,1,NA,NA,NA,1,1,1,NA,NA,NA,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,NA,0,0
5,8.224657534,8,M,NA,55,34,NA,NA,NA,2,2,2,NA,NA,NA,2,1,1,2,2,2,2,2,2,2,2,2,1,0,1,2,2,2,2,2,1,1,1,2,2,NA,2,1,2,2,1.6,1.666666667,2,1.333333333,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,NA,1,1
6,4.224657534,4,F,NA,NA,7,2,2,0,1,1,2,NA,0,2,2,0,0,1,2,2,2,2,1,1,2,2,1,NA,2,2,1,1,1,1,0,0,1,2,2,NA,1,1,1.333333333,1.333333333,1.4,0.666666667,1.666666667,1.8,1,1,0,1,1,1,NA,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,NA,1,1,1,0,0,1,0,0,1,1,1,NA,1,1
8,3.498630137,3,F,NA,31,11,NA,NA,NA,0,1,1,NA,NA,NA,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,NA,1,1,0.666666667,1,1,0.333333333,0.166666667,0.5,NA,NA,NA,0,1,1,NA,NA,NA,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,NA,1,1
10,3.57260274,3,F,NA,NA,7,NA,0,0,0,2,2,NA,0,0,0,0,0,0,1,2,0,2,0,1,1,0,2,1,1,0,0,1,1,1,0,1,0,2,0,NA,1,0,0.8,0,0.6,0.666666667,1,0.833333333,NA,0,0,0,1,1,NA,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,NA,1,0
11,3.649315068,3,M,NA,NA,NA,0,0,NA,NA,NA,1,NA,0,0,NA,1,0,NA,1,0,NA,0,0,NA,1,1,1,0,NA,NA,0,1,0,0,NA,NA,0,0,NA,NA,1,NA,0.333333333,0,0.333333333,0.25,0.25,0.75,0,0,NA,NA,NA,1,NA,0,0,NA,1,0,NA,1,0,NA,0,0,NA,1,1,1,0,NA,NA,0,1,0,0,NA,NA,0,0,NA,NA,1,NA
12,6.109589041,6,F,NA,60,23,2,2,2,2,2,2,NA,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,0,2,2,2,NA,2,1,2,2,1.8,1.333333333,1.833333333,2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,NA,1,1
13,6.506849315,6,M,NA,60,20,2,2,2,2,2,2,NA,1,1,1,1,1,1,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,NA,2,2,2,1,2,1.833333333,1.833333333,1.5,1,1,1,1,1,1,NA,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,NA,1,1
14,4.402739726,4,F,NA,54,14,2,2,2,2,2,1,NA,1,2,1,1,0,2,2,2,2,1,2,2,1,1,0,1,1,1,1,2,0,1,0,0,0,1,0,NA,1,1,1.833333333,1.333333333,0.6,0.666666667,1.833333333,0.833333333,1,1,1,1,1,1,NA,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,NA,1,1
15,6.717808219,6,F,NA,60,NA,2,2,0,2,2,2,NA,2,1,2,2,1,2,2,2,2,1,2,0,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,NA,2,2,1.666666667,1.666666667,1.8,1.833333333,1.5,1.833333333,1,1,0,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,1,1
16,4.290410959,4,F,NA,54,NA,2,2,2,1,2,1,NA,2,2,2,1,0,1,2,2,2,2,2,2,0,2,2,2,1,2,2,0,2,2,0,1,2,2,2,NA,1,1,1.666666667,2,1.6,1.166666667,2,1.5,1,1,1,1,1,1,NA,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,NA,1,1
17,7.717808219,7,F,NA,60,30,NA,2,2,NA,2,2,NA,2,NA,1,NA,1,2,NA,2,2,NA,2,2,NA,NA,2,2,1,2,NA,NA,1,1,1,0,NA,2,2,NA,2,1,2,1.5,1.75,0.75,2,1.75,NA,1,1,NA,1,1,NA,1,NA,1,NA,1,1,NA,1,1,NA,1,1,NA,NA,1,1,1,1,NA,NA,1,1,0,0,NA,1,1,NA,1,1
18,5.273972603,5,M (Gender: F),NA,60,20,2,2,2,2,2,2,NA,0,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,0,0,1,2,2,NA,1,1,2,0.666666667,1.4,1.333333333,1.833333333,1.833333333,1,1,1,1,1,1,NA,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,NA,1,1
19,7.715068493,7,F,NA,58,13,0,2,2,2,2,0,NA,2,2,2,1,1,1,1,2,2,2,2,2,1,1,2,1,1,2,1,1,2,1,1,0,1,2,2,NA,1,2,1.333333333,2,1.6,1,1.833333333,1.333333333,0,1,1,1,1,0,NA,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,1,1
20,5.353424658,5,M,NA,47,21,2,2,2,2,2,2,NA,2,0,1,1,0,0,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,0,0,1,2,2,NA,2,2,2,1,1.8,1.166666667,1.833333333,1.833333333,1,1,1,1,1,1,NA,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,NA,1,1
21,6.712328767,6,M,NA,57,21,2,2,2,2,2,2,NA,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,0,2,2,2,NA,1,1,2,2,1.6,1.333333333,2,1.833333333,1,1,1,1,1,1,NA,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,NA,1,1
22,7.147945205,7,F,NA,58,28,2,2,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,NA,1,2,2,2,1.8,1.833333333,2,1.5,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,1,1
23,7.476712329,7,F,NA,60,25,2,2,2,2,2,2,NA,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,1,2,2,1,1,2,2,NA,2,2,2,1.333333333,1.8,1.5,1.833333333,1.833333333,1,1,1,1,1,1,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,NA,1,1
24,5.273972603,5,F,NA,6,20,2,2,2,2,2,2,NA,1,1,1,0,1,1,1,2,1,0,1,2,1,1,2,1,1,0,1,2,2,1,0,0,2,1,1,NA,1,0,2,1,1,1,1.166666667,1,1,1,1,1,1,1,NA,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,NA,1,0
25,5.416438356,5,M,NA,45,17,2,2,2,2,2,2,NA,2,0,1,0,1,1,2,2,2,1,2,2,1,2,2,0,2,2,2,2,0,1,0,0,2,2,2,NA,1,1,2,1,1.6,0.833333333,1.833333333,1.5,1,1,1,1,1,1,NA,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,NA,1,1
27,5.465753425,5,M,NA,57,22,2,2,2,2,2,2,NA,2,2,1,1,1,2,2,1,2,2,0,2,1,1,0,0,1,1,1,1,2,1,1,0,1,2,2,NA,1,1,2,1.666666667,1.4,1,1.5,0.666666667,1,1,1,1,1,1,NA,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,NA,1,1
28,5.320547945,5,F,NA,56,NA,1,2,0,1,0,2,NA,0,1,1,0,1,0,1,2,1,1,2,1,1,0,2,1,2,2,0,1,1,1,0,0,1,1,1,NA,1,1,1,0.666666667,1,0.5,1.333333333,1.333333333,1,1,0,1,0,1,NA,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,NA,1,1
30,3.6,3,F,NA,NA,13,0,0,0,0,1,NA,NA,0,0,1,1,0,0,0,0,0,0,1,0,0,1,NA,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,1,0,0.2,0.333333333,0.333333333,0.333333333,0.166666667,0.2,0,0,0,0,0,NA,NA,0,0,1,1,0,0,0,0,0,0,1,0,0,1,NA,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,1,0
31,8.657534247,8,F,NA,55,27,2,2,2,2,2,2,NA,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,1,1,2,2,2,NA,2,2,2,2,2,1.333333333,2,1.666666667,1,1,1,1,1,1,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,NA,1,1
32,8.64109589,8,F,NA,60,25,2,2,2,2,2,2,NA,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,NA,NA,1,2,2,2,1.75,1.666666667,2,2,1,1,1,1,1,1,NA,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,NA,NA,1,1
33,8.635616438,8,M,NA,60,28,2,2,2,2,2,2,NA,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,1,1,0,2,1,1,0,0,2,2,2,NA,1,1,2,1,1.6,0.666666667,2,1.333333333,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,NA,1,1
34,8.6,8,F,NA,60,29,2,2,2,2,2,2,NA,2,2,2,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,NA,2,2,2,2,2,1.666666667,2,2,1,1,1,1,1,1,NA,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,1,1
35,4.161643836,4,F,NA,60,NA,2,0,2,2,2,0,NA,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,2,NA,1,1,1.333333333,0.666666667,1,0.333333333,0.333333333,0.666666667,1,0,1,1,1,0,NA,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,NA,1,1
36,5.361643836,5,M,NA,NA,19,2,NA,NA,2,2,2,NA,2,1,1,0,0,0,2,0,1,2,2,2,1,2,2,1,1,2,1,2,2,1,2,0,1,1,2,NA,1,1,2,1.333333333,1.2,1.333333333,1.5,1.5,1,NA,NA,1,1,1,NA,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,1,1
37,8.531506849,8,M,NA,60,26,2,2,2,2,2,2,NA,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,2,2,2,NA,2,2,2,2,2,1.5,1.666666667,2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,NA,1,1
38,8.608219178,8,M,NA,54,23,2,2,2,2,2,1,NA,2,2,2,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,2,1,1,2,1,1,2,2,2,NA,1,0,1.833333333,2,1.4,1.333333333,1.5,1.833333333,1,1,1,1,1,1,NA,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,NA,1,0
39,8.610958904,8,F,15,59,24,2,2,2,2,2,2,NA,2,2,2,NA,NA,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,NA,0,1,2,2,2,2,2,1,2,2,1.833333333,1.4,1.833333333,1.833333333,1,1,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,1,1,1,1,1,1,1
40,7.391780822,7,F,NA,58,25,2,2,2,2,2,2,NA,1,2,2,1,0,1,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,0,2,2,2,NA,2,2,2,1.666666667,2,1.5,1.666666667,1.833333333,1,1,1,1,1,1,NA,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,NA,1,1
41,7.591780822,7,M,NA,58,23,0,2,2,2,2,2,NA,2,2,2,1,0,1,1,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,0,0,1,2,0,NA,1,2,1.666666667,2,1.2,1.166666667,1.5,1.833333333,0,1,1,1,1,1,NA,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,NA,1,1
42,7.668493151,7,F,NA,60,22,2,2,2,1,2,2,NA,2,2,2,1,0,2,2,2,1,2,2,2,1,2,0,2,2,2,2,2,2,2,0,1,1,2,2,NA,1,2,1.833333333,2,1.6,1.5,1.833333333,1.5,1,1,1,1,1,1,NA,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,NA,1,1
44,7.580821918,7,F,NA,60,30,2,2,2,1,2,2,NA,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,NA,0,1,1.833333333,2,1.2,1.833333333,1.833333333,1.833333333,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,0,1
45,7.57260274,7,F,NA,60,18,2,2,2,2,2,2,NA,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,0,1,2,2,NA,1,1,2,1.666666667,1.4,1.166666667,2,1.833333333,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,NA,1,1
46,5.991780822,5,F,NA,59,19,2,2,1,2,2,2,NA,2,2,1,1,0,1,2,2,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,2,2,NA,1,1,1.833333333,1.666666667,1.4,1.166666667,1.5,1.333333333,1,1,0,1,1,1,NA,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,1,1
47,6.684931507,6,F,NA,58,24,2,0,2,2,2,2,NA,2,2,1,1,1,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,1,2,0,1,2,2,NA,2,2,1.666666667,1.666666667,1.8,1.5,2,1.666666667,1,0,1,1,1,1,NA,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,1,1
48,6.616438356,6,F,NA,60,19,2,2,2,2,2,2,NA,2,2,1,1,2,1,1,1,2,2,1,2,2,2,2,0,2,2,2,2,2,2,2,0,1,2,2,NA,2,2,2,1.666666667,1.8,1.666666667,1.5,1.666666667,1,1,1,1,1,1,NA,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,NA,1,1
49,6.649315068,6,F,NA,57,28,2,2,2,2,2,2,NA,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,1,2,2,1,NA,2,2,2,1.666666667,1.8,1.666666667,2,1.5,1,1,1,1,1,1,NA,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,1,1
50,6.709589041,6,M,NA,53,NA,2,2,2,2,2,0,2,1,2,2,2,1,2,2,2,1,2,2,0,2,2,2,2,2,2,2,2,2,2,1,0,2,2,2,2,2,2,1.666666667,1.75,2,1.5,1.5,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
