subNo,ageYrs,ageYrsRound,sex,grassSky_sum,upDown_sum,vocab_sum,divDes_a1_peWcontrol,divDes_b12_peWcontrol,divDes_c5_peWcontrol,divDes_a9_peWcontrol,divDes_c1_peWcontrol,divDes_b10_peWcontrol,divBel_a3_peWcontrol,divBel_b7_peWcontrol,divBel_a6_peWcontrol,divBel_c8_peWcontrol,trueBel_a7_peWcontrol,trueBel_b1_peWcontrol,trueBel_c12_peWcontrol,falseBelContents_a8_peWcontrol,falseBelContents_b3_peWcontrol,falseBelContents_c4_peWcontrol,falseBelLocation_a10_peWcontrol,falseBelLocation_b11_peWcontrol,falseBelLocation_c6_peWcontrol,falseSign_a5_peWcontrol,falseSign_a13_peWcontrol,falseSign_b4_peWcontrol,falseSign_b8_peWcontrol,falseSign_c2_peWcontrol,falseSign_c9_peWcontrol,vpt1_a11_peWcontrol,vpt1_a2_peWcontrol,vpt1_b2_peWcontrol,vpt1_b5_peWcontrol,vpt2_c7_peWcontrol,vpt2_c11_peWcontrol,knowAcc_a12_peWcontrol,knowAcc_b6_peWcontrol,knowAcc_c3_peWcontrol,knowExpert_a4_peWcontrol,knowExpert_b9_peWcontrol,knowExpert_c10_peWcontrol,divDesAvg,divBelAvg,knowAvg,vptAvg,falseBelAvg,falseSignAvg,divDes_a1_pWcontrol,divDes_b12_pWcontrol,divDes_c5_pWcontrol,divDes_a9_pWcontrol,divDes_c1_pWcontrol,divDes_b10_pWcontrol,divBel_a3_pWcontrol,divBel_b7_pWcontrol,divBel_a6_pWcontrol,divBel_c8_pWcontrol,trueBel_a7_pWcontrol,trueBel_b1_pWcontrol,trueBel_c12_pWcontrol,falseBelContents_a8_pWcontrol,falseBelContents_b3_pWcontrol,falseBelContents_c4_pWcontrol,falseBelLocation_a10_pWcontrol,falseBelLocation_b11_pWcontrol,falseBelLocation_c6_pWcontrol,falseSign_a5_pWcontrol,falseSign_a13_pWcontrol,falseSign_b4_pWcontrol,falseSign_b8_pWcontrol,falseSign_c2_pWcontrol,falseSign_c9_pWcontrol,vpt1_a11_pWcontrol,vpt1_a2_pWcontrol,vpt1_b2_pWcontrol,vpt1_b5_pWcontrol,vpt2_c7_pWcontrol,vpt2_c11_pWcontrol,knowAcc_a12_pWcontrol,knowAcc_b6_pWcontrol,knowAcc_c3_pWcontrol,knowExpert_a4_pWcontrol,knowExpert_b9_pWcontrol,knowExpert_c10_pWcontrol
51,7.583561644,7,F,NA,52,21,2,2,2,1,2,2,NA,2,2,2,1,2,2,2,2,2,NA,2,2,2,2,2,2,NA,2,2,2,2,2,0,0,1,2,2,NA,1,1,1.833333333,2,1.4,1.333333333,2,2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,NA,1,1
52,5.402739726,5,M,NA,60,10,2,2,2,2,2,2,NA,2,2,2,0,0,0,2,2,2,1,2,2,1,2,2,0,1,1,2,0,0,0,0,0,1,0,2,NA,1,1,2,2,1,0.333333333,1.833333333,1.166666667,1,1,1,1,1,1,NA,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,NA,1,1
53,5.331506849,5,F,NA,55,16,2,2,2,1,2,1,NA,2,1,1,1,1,1,1,2,1,1,0,1,0,2,2,1,1,1,2,1,2,1,2,0,1,2,2,NA,1,1,1.666666667,1.333333333,1.4,1.333333333,1,1.166666667,1,1,1,1,1,1,NA,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,NA,1,1
54,6.643835616,6,F,NA,60,21,2,2,2,2,2,2,NA,1,2,2,2,1,0,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,2,NA,2,1,2,1.666666667,1.6,1.833333333,1.833333333,1.666666667,1,1,1,1,1,1,NA,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,1,1
55,6.679452055,6,M,NA,59,26,1,2,2,2,1,1,NA,1,1,1,1,0,1,2,2,2,1,1,2,0,1,1,1,1,0,2,0,2,2,0,0,1,1,2,NA,1,1,1.5,1,1.2,1,1.666666667,0.666666667,1,1,1,1,1,0,NA,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,NA,1,1
56,8.6,8,M,NA,60,22,2,2,2,2,2,2,NA,1,2,2,2,1,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,0,2,2,2,NA,2,1,2,1.666666667,1.8,1.5,1.5,1.833333333,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,NA,1,1
57,7.589041096,7,M,13,48,34,1,2,2,2,2,2,NA,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,0,2,2,2,NA,2,1,1.833333333,2,1.8,1.166666667,1.833333333,1.833333333,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,NA,1,1
58,7.583561644,7,M,NA,60,27,2,2,2,2,2,2,NA,2,1,2,2,2,0,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,NA,2,2,2,1.666666667,2,1.833333333,2,1.666666667,1,1,1,1,1,1,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,NA,1,1
59,7.709589041,7,F,NA,56,NA,2,2,NA,2,2,1,NA,2,2,2,2,0,2,2,1,1,1,2,2,2,0,2,0,1,2,2,1,0,2,0,1,1,2,2,NA,2,1,1.8,2,1.6,1,1.5,1.166666667,1,1,NA,1,1,0,NA,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,NA,1,1
60,6.687671233,6,F,NA,60,19,1,2,2,2,2,2,NA,2,2,1,1,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,0,1,0,2,2,1,NA,1,1,1.833333333,1.666666667,1.4,1.166666667,2,1.666666667,1,1,1,1,1,1,NA,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,NA,1,1
61,6.704109589,6,M,16,60,24,2,2,2,2,1,2,NA,1,2,2,1,0,2,1,2,1,1,2,2,2,2,1,1,2,2,2,1,2,1,1,0,2,2,2,0,1,1,1.833333333,1.666666667,1.333333333,1.166666667,1.5,1.666666667,1,1,1,1,0,1,NA,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1
62,5.484931507,5,M,2,60,19,2,2,2,2,2,2,NA,2,0,1,1,0,2,2,2,1,0,2,0,2,2,1,2,2,0,2,0,2,2,1,0,0,2,1,NA,NA,2,2,1,1.25,1.166666667,1.166666667,1.5,1,1,1,1,1,1,NA,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,NA,NA,1
63,6.654794521,6,F,NA,56,18,2,2,2,2,2,2,2,2,1,1,0,1,1,2,2,2,1,2,1,2,2,0,2,2,2,2,2,2,1,1,0,1,2,2,1,1,1,2,1.5,1.333333333,1.333333333,1.666666667,1.666666667,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
65,6.654794521,6,F,15,60,28,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,1,1,2,1,2,2,1,2,2,2,2,1,1,0,0,2,1,2,1,2,2,2,1.5,1.666666667,1,1.666666667,1.666666667,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1
66,5.517808219,5,M,NA,60,NA,2,2,2,2,2,2,NA,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,1,2,2,NA,2,1,2,2,1.6,1.333333333,2,2,1,1,1,1,1,1,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,NA,1,1
67,4.676712329,4,M,NA,NA,9,0,1,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,NA,1,1,0.333333333,0,0.4,0.333333333,0,0.166666667,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,NA,1,1
68,7.61369863,7,M,15,56,24,2,2,2,1,2,2,NA,2,2,2,2,1,1,2,2,1,2,2,2,1,2,1,1,2,1,2,2,2,2,2,1,2,1,2,2,2,2,1.833333333,2,1.833333333,1.833333333,1.833333333,1.333333333,1,1,1,1,1,1,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
69,6.684931507,6,M,NA,59,23,2,0,2,2,0,2,NA,1,2,1,0,1,2,2,2,2,1,2,1,1,2,2,0,2,1,1,1,1,2,0,0,1,2,2,NA,1,1,1.333333333,1.333333333,1.4,0.833333333,1.666666667,1.333333333,1,0,1,1,0,1,NA,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,NA,1,1
70,6.671232877,6,M,12,56,20,0,0,2,2,2,2,2,2,0,1,2,0,0,2,1,1,0,1,2,1,1,2,0,0,1,2,2,1,NA,0,0,1,0,2,1,1,1,1.333333333,1.25,1,1,1.166666667,0.833333333,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,NA,0,0,1,0,1,1,1,1
72,4.726027397,4,F,16,45,18,2,2,2,2,1,2,NA,2,2,1,2,1,0,2,2,1,2,2,2,1,2,2,0,1,2,1,1,0,1,1,0,1,2,1,1,1,1,1.833333333,1.666666667,1.166666667,0.666666667,1.833333333,1.333333333,1,1,1,1,1,1,NA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1
73,5.693150685,5,F,12,58,14,1,2,0,1,1,0,NA,0,1,1,0,1,2,0,1,0,0,1,0,2,0,1,0,0,0,0,0,1,1,0,0,1,1,0,NA,1,0,0.833333333,0.666666667,0.6,0.333333333,0.333333333,0.5,1,1,0,1,1,0,NA,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,NA,1,0
75,5.723287671,5,F,16,NA,16,2,0,2,2,1,2,NA,1,2,2,2,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,2,1,2,1,1,2,2,2,NA,2,2,1.5,1.666666667,2,1.5,1.5,1.666666667,1,0,1,1,1,1,NA,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,NA,1,1
76,5.794520548,5,F,14,60,23,2,2,2,2,1,2,2,1,2,2,1,0,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1.833333333,1.75,2,1.666666667,1.833333333,2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
77,4.605479452,4,F,16,58,16,1,2,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,2,1,0,1,1,2,0,2,2,0,0,1,1,2,1,1,1,0.833333333,0.75,1.166666667,1,0.5,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1
78,5.701369863,5,F,NA,60,NA,2,2,2,2,2,2,NA,2,2,2,0,0,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,2,2,1,1,1,2,2,1.333333333,1.333333333,1.666666667,2,1,1,1,1,1,1,NA,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
79,4.660273973,4,F,7,56,7,1,2,2,2,2,2,0,0,1,2,1,1,0,0,2,2,0,1,NA,1,0,0,1,1,0,0,0,1,1,0,2,0,0,1,0,0,0,1.833333333,0.75,0.166666667,0.666666667,1,0.5,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,NA,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
80,5.646575342,5,F,16,57,21,2,2,2,1,2,2,2,2,0,2,1,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,0,0,2,2,2,1,2,2,1.833333333,1.5,1.833333333,1.333333333,1.5,1.833333333,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
81,4.610958904,4,F,14,52,13,1,2,1,2,2,1,NA,1,0,1,0,0,0,0,1,1,0,2,0,0,0,2,1,1,1,1,1,1,1,1,0,1,2,2,0,1,1,1.5,0.666666667,1.166666667,0.833333333,0.666666667,0.833333333,1,1,1,1,1,1,NA,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1
82,4.578082192,4,F,16,51,13,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,2,1,0,1,0,0,0,1,0,0,1,1,0.833333333,0.5,0.5,0.666666667,0.333333333,0.833333333,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1
83,4.57260274,4,M,13,NA,17,2,2,2,1,1,2,2,1,0,0,2,1,0,1,0,2,0,2,2,0,1,0,0,0,1,0,0,1,1,0,0,NA,1,2,1,1,1,1.666666667,0.75,1.2,0.333333333,1.166666667,0.333333333,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,NA,1,1,1,1,1
84,5.701369863,5,M,14,59,24,2,2,2,2,2,2,NA,2,1,1,1,1,2,2,1,2,2,1,2,2,2,0,1,1,1,1,2,2,0,1,0,1,2,2,1,1,1,2,1.333333333,1.333333333,1,1.666666667,1.166666667,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
85,5.394520548,5,F,14,60,10,2,2,2,1,2,1,NA,2,2,2,0,1,1,2,2,1,2,2,2,0,1,2,1,1,1,2,2,1,1,0,0,1,2,2,1,1,2,1.666666667,2,1.5,1,1.833333333,1,1,1,1,0,1,1,NA,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
87,5.745205479,5,M,16,58,22,2,2,2,2,2,2,2,0,2,2,2,1,2,1,1,2,1,1,1,1,2,1,0,1,2,1,2,2,2,0,0,1,0,2,2,2,1,2,1.5,1.333333333,1.166666667,1.166666667,1.166666667,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1
88,5.632876712,5,M,NA,59,21,2,2,2,2,2,2,2,1,1,1,2,0,0,2,1,2,2,1,2,0,1,2,0,2,1,1,2,0,1,1,0,1,1,2,1,1,1,2,1.25,1.166666667,0.833333333,1.666666667,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1
89,4.660273973,4,M,13,47,15,2,2,2,2,2,2,2,2,0,2,1,1,1,2,2,1,2,2,0,1,2,2,1,1,1,2,1,2,2,1,1,0,0,2,1,1,1,2,1.5,0.833333333,1.5,1.5,1.333333333,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1
90,7.747945205,7,M,16,54,34,2,2,2,2,2,1,2,2,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,1,2,2,NA,2,1,1.833333333,1.5,1.6,1.666666667,1.666666667,1.833333333,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,1,1
91,4.860273973,4,F,15,25,18,2,2,2,2,1,2,1,1,2,1,0,1,0,1,2,1,2,2,2,1,2,2,0,1,2,2,2,0,1,0,0,2,2,0,1,1,1,1.833333333,1.25,1.166666667,0.833333333,1.666666667,1.333333333,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1
93,4.482191781,4,F,15,55,13,1,1,2,0,0,2,1,1,1,1,0,0,0,1,0,0,1,2,2,1,1,0,1,1,2,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0.666666667,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1
94,7.421917808,7,F,16,47,23,2,2,1,2,2,2,2,2,1,2,2,1,1,1,2,1,0,2,2,2,1,2,2,1,2,NA,1,2,1,0,0,0,2,2,1,1,1,1.833333333,1.75,1.166666667,0.8,1.333333333,1.666666667,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,NA,0,1,1,0,0,0,1,1,1,1,1
96,7.542465753,7,F,16,60,29,2,2,2,2,2,2,1,2,2,2,1,0,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,0,2,2,2,2,2,2,2,1.75,2,1.5,1.833333333,1.833333333,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
97,5.394520548,5,M,4,58,17,0,0,2,2,2,2,0,0,2,0,1,0,1,1,1,2,1,0,1,2,2,2,2,2,2,2,2,2,1,0,0,2,2,2,2,2,2,1.333333333,0.5,2,1.166666667,1,2,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
98,5.446575342,5,M,8,43,11,2,2,2,1,2,2,2,1,0,0,0,0,2,2,2,2,1,2,1,0,0,2,1,1,1,1,1,0,1,0,0,1,2,1,1,1,1,1.833333333,0.75,1.166666667,0.5,1.666666667,0.833333333,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1
99,3.402739726,3,M,NA,58,12,2,1,2,2,0,1,NA,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,NA,1,1,0,1,0,1,1,0,1,1,1.333333333,0.333333333,0.666666667,0.8,0.5,0.666666667,1,0,1,1,0,1,NA,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,NA,1,1,0,0,0,1,1,0,1,1
100,4.37260274,4,M,2,NA,8,1,1,0,0,0,0,0,1,2,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,NA,0,0,1,0,0,0,0,0,0,1,0,0.333333333,1,0.166666667,0.2,0.333333333,0.166666667,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,NA,0,0,1,0,0,0,0,0,0,1,0
101,8.452054795,8,M,15,57,26,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,1,2,1,2,NA,2,1,2,2,2,1,2,1,1,2,2,2,0,2,1,2,1.5,1.5,1.5,1.833333333,1.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1
102,7.438356164,7,F,16,58,21,2,2,2,2,0,2,1,1,2,0,1,1,1,2,1,1,2,2,2,2,2,2,0,2,2,2,2,0,1,2,1,1,2,2,2,2,2,1.666666667,1,1.833333333,1.333333333,1.666666667,1.666666667,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1
104,4.35890411,4,M,4,54,14,0,2,1,0,1,2,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,NA,0,0,1,2,NA,0,1,NA,0,1,1,0,1,0,0,1,0.25,0.5,0.75,0.166666667,0.6,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,NA,0,0,1,1,NA,0,1,NA,0,1,1,0,1,0,0
105,7.495890411,7,M (Sometimes identifies as F),1,47,22,2,2,2,2,2,2,2,2,2,1,2,0,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,1,1,2,2,1,2,2,2,1.75,1.666666667,1.5,2,1.666666667,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1
106,4.509589041,4,M,NA,NA,19,2,2,2,1,1,2,0,0,0,1,0,0,0,2,0,2,1,1,2,1,2,1,1,2,2,1,1,1,0,0,0,1,1,2,1,1,0,1.666666667,0.25,1,0.5,1.333333333,1.5,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0
108,5.391780822,5,M,NA,60,NA,2,2,2,1,2,1,1,2,1,1,1,0,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,2,0,1,1,2,2,1,2,1,1.666666667,1.25,1.5,1,2,1.666666667,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
109,4.893150685,4,M,NA,NA,19,2,2,2,2,2,2,1,2,1,2,1,0,1,2,2,1,1,2,1,1,0,2,1,1,2,2,2,2,2,0,1,2,2,2,1,2,1,2,1.5,1.666666667,1.5,1.5,1.166666667,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
110,8.501369863,8,M,16,60,34,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,1.333333333,1.833333333,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
