subNo,ageYrs,ageYrsRound,sex,grassSky_sum,upDown_sum,vocab_sum,divDes_a1_peWcontrol,divDes_b12_peWcontrol,divDes_c5_peWcontrol,divDes_a9_peWcontrol,divDes_c1_peWcontrol,divDes_b10_peWcontrol,divBel_a3_peWcontrol,divBel_b7_peWcontrol,divBel_a6_peWcontrol,divBel_c8_peWcontrol,trueBel_a7_peWcontrol,trueBel_b1_peWcontrol,trueBel_c12_peWcontrol,falseBelContents_a8_peWcontrol,falseBelContents_b3_peWcontrol,falseBelContents_c4_peWcontrol,falseBelLocation_a10_peWcontrol,falseBelLocation_b11_peWcontrol,falseBelLocation_c6_peWcontrol,falseSign_a5_peWcontrol,falseSign_a13_peWcontrol,falseSign_b4_peWcontrol,falseSign_b8_peWcontrol,falseSign_c2_peWcontrol,falseSign_c9_peWcontrol,vpt1_a11_peWcontrol,vpt1_a2_peWcontrol,vpt1_b2_peWcontrol,vpt1_b5_peWcontrol,vpt2_c7_peWcontrol,vpt2_c11_peWcontrol,knowAcc_a12_peWcontrol,knowAcc_b6_peWcontrol,knowAcc_c3_peWcontrol,knowExpert_a4_peWcontrol,knowExpert_b9_peWcontrol,knowExpert_c10_peWcontrol,divDesAvg,divBelAvg,knowAvg,vptAvg,falseBelAvg,falseSignAvg,divDes_a1_pWcontrol,divDes_b12_pWcontrol,divDes_c5_pWcontrol,divDes_a9_pWcontrol,divDes_c1_pWcontrol,divDes_b10_pWcontrol,divBel_a3_pWcontrol,divBel_b7_pWcontrol,divBel_a6_pWcontrol,divBel_c8_pWcontrol,trueBel_a7_pWcontrol,trueBel_b1_pWcontrol,trueBel_c12_pWcontrol,falseBelContents_a8_pWcontrol,falseBelContents_b3_pWcontrol,falseBelContents_c4_pWcontrol,falseBelLocation_a10_pWcontrol,falseBelLocation_b11_pWcontrol,falseBelLocation_c6_pWcontrol,falseSign_a5_pWcontrol,falseSign_a13_pWcontrol,falseSign_b4_pWcontrol,falseSign_b8_pWcontrol,falseSign_c2_pWcontrol,falseSign_c9_pWcontrol,vpt1_a11_pWcontrol,vpt1_a2_pWcontrol,vpt1_b2_pWcontrol,vpt1_b5_pWcontrol,vpt2_c7_pWcontrol,vpt2_c11_pWcontrol,knowAcc_a12_pWcontrol,knowAcc_b6_pWcontrol,knowAcc_c3_pWcontrol,knowExpert_a4_pWcontrol,knowExpert_b9_pWcontrol,knowExpert_c10_pWcontrol
111,5.410958904,5,M,2,60,18,NA,2,2,2,2,2,0,0,1,1,1,1,0,1,0,0,1,1,0,2,2,1,0,0,0,NA,0,2,1,0,0,2,2,NA,2,1,1,2,0.5,1.6,0.6,0.5,0.833333333,NA,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,NA,0,1,1,0,0,1,1,NA,1,1,1
112,7.416438356,7,F,0,60,26,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,1,2,0,2,2,2,2,1,2,2,1.5,1.833333333,1.166666667,1.833333333,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
115,7.41369863,7,F,16,60,30,1,2,0,2,2,0,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1.166666667,1.5,1.833333333,1.833333333,1.833333333,2,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
116,8.42739726,8,M,15,60,25,2,2,2,2,2,2,1,1,2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,1.5,2,1.5,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1
117,8.720547945,8,F,16,58,28,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,1,0,2,2,2,1,2,2,2,2,1.833333333,1.5,2,1.666666667,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
118,8.698630137,8,M,14,60,32,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,2,2,2,2,2,2,1.75,1.833333333,1.333333333,2,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
121,8.676712329,8,F,16,60,26,2,2,2,2,2,2,1,1,2,1,1,0,0,2,2,2,2,2,1,1,1,2,0,2,1,2,2,1,2,2,0,2,2,2,1,1,2,2,1.25,1.666666667,1.5,1.833333333,1.166666667,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1
122,8.717808219,8,M,14,58,38,2,2,2,2,2,2,2,NA,2,1,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1.666666667,2,1.833333333,2,1.666666667,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
123,3.643835616,3,M,NA,NA,16,1,0,NA,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0.4,0.5,0.166666667,0.333333333,0.333333333,0.5,0,0,NA,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
125,8.720547945,8,M,16,54,29,2,2,2,2,1,2,2,2,0,2,0,0,NA,2,2,2,2,2,1,2,2,2,0,1,2,2,2,1,2,2,0,2,1,2,2,2,2,1.833333333,1.5,1.833333333,1.5,1.833333333,1.5,1,1,1,1,1,1,1,1,0,1,0,0,NA,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1
128,3.720547945,3,M,14,52,8,2,2,2,2,2,1,2,2,1,1,2,1,1,1,2,0,0,2,0,1,1,2,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1.833333333,1.5,0.5,0.833333333,0.833333333,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0
129,8.602739726,8,M,16,60,31,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,0,2,2,2,2,2,2,1.666666667,2,2,1.5,2,1.833333333,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
130,8.616438356,8,M,13,57,27,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,1,0,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,1,2,1.75,1.666666667,1.666666667,2,1.333333333,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
131,8.638356164,8,F,16,60,29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,1.666666667,2,1.833333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
132,8.715068493,8,M,NA,60,35,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1.5,2,1.833333333,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
133,8.602739726,8,F,16,60,29,2,2,2,2,1,2,2,NA,2,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,1,2,2,1.833333333,2,1.833333333,1.333333333,2,2,1,1,1,1,1,1,1,NA,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
134,3.624657534,3,F,8,51,17,0,2,1,1,1,1,0,0,1,1,1,1,1,0,2,1,1,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0.5,0.333333333,0.5,1.166666667,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
135,4.660273973,4,M,12,33,17,2,2,NA,1,2,0,2,2,0,2,0,1,2,1,1,2,1,1,0,2,0,1,0,1,2,1,0,2,0,0,0,2,2,2,1,1,1,1.4,1.5,1.5,0.5,1,1,1,1,NA,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1
136,7.619178082,7,M,16,60,29,2,2,2,2,2,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,1.5,2,1.666666667,1.833333333,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
137,7.742465753,7,M,16,60,21,2,2,2,2,2,2,2,1,1,2,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,0,0,2,1,1,0,1,2,2,1.5,1.166666667,1.333333333,1.666666667,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1
138,7.687671233,7,M,15,56,23,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1.833333333,2,1.833333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
139,3.871232877,3,F,7,57,13,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1.166666667,0,0.333333333,0.333333333,0.5,0.333333333,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0
140,3.849315068,3,F,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0.5,0,0.166666667,0.333333333,0.2,0.333333333,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
141,3.912328767,3,M,16,57,8,2,2,2,0,1,1,1,1,0,0,2,1,0,1,1,1,1,1,1,1,1,2,1,1,0,1,2,1,0,0,0,1,1,1,1,1,1,1.333333333,0.5,1,0.666666667,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1
142,3.81369863,3,M,11,55,16,2,2,2,2,2,0,1,0,1,1,0,1,2,1,0,1,1,2,1,0,0,2,1,1,0,1,1,2,0,0,0,1,2,2,2,1,1,1.666666667,0.75,1.5,0.666666667,1,0.666666667,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1
143,3.832876712,3,M,13,NA,14,0,2,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,2,1,1,1,0.25,0.666666667,0.5,0.333333333,0.666666667,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1
145,4.98,4,F,NA,1,19,2,1,0,1,1,2,0,1,2,2,0,1,0,1,2,1,2,2,2,2,2,1,0,2,2,2,1,2,2,0,0,2,2,2,1,1,2,1.166666667,1.25,1.666666667,1.166666667,1.666666667,1.5,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
146,6.871232877,6,M,NA,58,26,2,2,2,0,2,2,2,2,2,1,1,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,0,2,2,2,1,2,2,2,1,1,2,1.666666667,1.75,1.666666667,1.5,1.5,1.833333333,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
148,7.761643836,7,M,14,3,26,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,NA,2,1,2,2,2,2,2,1,2,2,1.833333333,1.8,2,1.833333333,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,0,1,1,1,1,1,1
149,6.882191781,6,F,16,60,NA,2,2,2,2,2,2,2,2,1,1,1,0,1,2,2,1,2,2,0,1,2,2,2,2,2,2,1,0,1,1,1,1,0,0,0,1,1,2,1.5,0.5,1,1.5,1.833333333,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1
150,6.876712329,6,M,15,53,24,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,1,2,2,0,2,2,0,1,2,1,1,2,2,1,0,2,2,2,1,2,2,2,1.25,1.833333333,1.166666667,1.833333333,1.166666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
153,3.876712329,3,F,14,36,10,1,1,2,1,1,2,1,0,0,1,1,0,1,1,1,0,0,2,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1.333333333,0.5,0.666666667,0.333333333,0.833333333,0.666666667,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1
154,3.871232877,3,M,NA,NA,NA,1,2,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,NA,0,0,0,0,0,0,0,0.833333333,0.5,0,0.4,0.333333333,0.166666667,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,NA,0,0,0,0,0,0,0
155,3.873972603,3,M,9,48,14,2,2,2,2,2,2,2,1,1,1,0,1,2,2,2,2,1,2,0,2,2,2,1,2,2,1,0,0,1,0,0,0,2,2,1,1,1,2,1.25,1.166666667,0.333333333,1.5,1.833333333,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1
156,3.898630137,3,F,16,NA,NA,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0.833333333,0.5,0.5,0.5,0.166666667,0.5,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1
158,4.87,4,F,16,57,20,0,2,2,2,2,2,2,2,2,1,1,1,0,2,0,2,2,2,2,2,2,1,0,1,1,2,2,0,1,0,0,2,2,2,0,1,1,1.666666667,1.75,1.333333333,0.833333333,1.666666667,1.166666667,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1
159,4.838356164,4,F,15,56,17,2,2,2,2,2,2,2,2,1,1,0,1,0,0,2,2,2,2,2,1,2,2,1,2,2,2,1,0,1,1,0,0,0,2,2,1,2,2,1.5,1.166666667,0.833333333,1.666666667,1.666666667,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1
160,3.103,3,M,10,60,9,2,1,2,0,1,1,1,1,2,2,0,0,0,1,0,2,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1.166666667,1.5,0.5,0.333333333,0.833333333,0.5,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0
161,4.890410959,4,M,16,51,19,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,1,2,1,2,2,1,1,1,1,2,0,1,1,0,1,0,2,1,1,1,2,1.75,1,0.833333333,1.666666667,1.333333333,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1
163,4.89,4,M,NA,57,14,2,2,2,2,2,2,2,2,2,1,1,1,0,2,1,1,1,2,1,1,2,2,2,2,2,1,2,2,1,0,1,1,2,2,1,1,1,2,1.75,1.333333333,1.166666667,1.333333333,1.833333333,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
164,6.56,6,F,NA,58,NA,1,2,2,2,2,2,2,2,2,2,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,2,2,2,2,2,1.833333333,2,2,1.5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
165,6.591780822,6,F,NA,57,14,2,0,0,2,1,2,1,2,2,0,1,0,0,1,1,1,1,2,2,1,2,1,0,0,2,1,2,1,2,1,0,0,2,1,1,1,0,1.166666667,1.25,0.833333333,1.166666667,1.333333333,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0
167,6.684931507,6,M,NA,59,NA,2,2,2,0,2,2,2,2,1,1,1,1,1,2,1,1,2,2,2,2,NA,2,0,0,1,2,2,1,1,1,0,0,0,0,0,2,2,1.666666667,1.5,0.666666667,1.166666667,1.666666667,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,NA,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1
169,6.624657534,6,F,16,48,20,1,2,2,2,2,2,1,2,2,2,1,0,0,1,2,2,1,2,2,2,0,1,0,2,2,2,2,2,2,1,1,1,2,2,1,2,2,1.833333333,1.75,1.666666667,1.666666667,1.666666667,1.166666667,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
170,6.635616438,6,F,16,57,19,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,0,2,0,1,2,2,1,2,1,0,1,2,2,2,1,1,1,2,1.5,1.5,1.166666667,1.833333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1
172,6.57,6,F,16,60,23,2,2,2,2,2,1,2,2,0,2,1,0,0,2,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,1,0,2,2,2,2,2,1,1.833333333,1.5,1.833333333,1.5,1.5,1.5,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
173,6.569863014,6,F,NA,53,NA,2,2,2,1,2,1,2,2,2,1,0,1,0,2,2,2,2,1,2,1,1,2,1,1,2,2,2,2,1,1,0,2,2,2,1,1,2,1.666666667,1.75,1.666666667,1.333333333,1.833333333,1.333333333,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
174,6.638356164,6,F,16,58,19,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,1.75,1.666666667,1.833333333,1.666666667,1.333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
175,6.682191781,6,M,16,47,20,2,2,2,2,1,2,2,2,1,1,1,1,0,2,2,2,2,2,2,2,2,0,1,2,2,2,1,2,1,2,1,2,2,2,0,1,1,1.833333333,1.5,1.333333333,1.5,2,1.5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1
176,6.630136986,6,M,15,55,23,2,2,2,2,2,2,2,1,1,2,1,0,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1.5,1.833333333,1.833333333,2,1.666666667,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
177,3.465753425,3,M,11,NA,14,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0.333333333,0.25,0.333333333,0.333333333,0.166666667,0.5,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0
178,3.460273973,3,M,0,NA,14,0,0,0,1,0,0,0,1,0,0,0,NA,1,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,1,0,0,0,1,0,0,1,1,1,0.166666667,0.25,0.666666667,0.166666667,0.166666667,0,0,0,0,1,0,0,0,1,0,0,0,NA,1,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,1,0,0,0,1,0,0,1,1,1
179,6.602739726,6,M,15,56,19,2,2,2,2,2,2,2,1,0,0,1,1,2,2,2,2,1,2,2,2,2,2,2,2,0,1,1,2,1,2,0,1,1,2,2,0,2,2,0.75,1.333333333,1.166666667,1.833333333,1.666666667,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1
181,3.55890411,3,M,10,56,12,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0.666666667,0,0.333333333,0.5,0.333333333,0.666666667,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1
